,dtype,n_non_null,n_missing,pct_missing,n_unique,sample_values
PassengerId,int64,891,0,0.0,891,"1, 2, 3, 4, 5"
Survived,int64,891,0,0.0,2,"0, 1"
Pclass,int64,891,0,0.0,3,"3, 1, 2"
Name,object,891,0,0.0,891,"Braund, Mr. Owen Harris, Cumings, Mrs. John Bradley (Florence Briggs Thayer), Heikkinen, Miss. Laina, Futrelle, Mrs. Jacques Heath (Lily May Peel), Allen, Mr. William Henry"
Sex,object,891,0,0.0,2,"male, female"
Age,float64,714,177,19.87,88,"22.0, 38.0, 26.0, 35.0, 54.0"
SibSp,int64,891,0,0.0,7,"1, 0, 3, 4, 2"
Parch,int64,891,0,0.0,7,"0, 1, 2, 5, 3"
Ticket,object,891,0,0.0,681,"A/5 21171, PC 17599, STON/O2. 3101282, 113803, 373450"
Fare,float64,891,0,0.0,248,"7.25, 71.2833, 7.925, 53.1, 8.05"
Cabin,object,204,687,77.1,147,"C85, C123, E46, G6, C103"
Embarked,object,889,2,0.22,3,"S, C, Q"
